Country,Year,Water Source Type,pH Level,Dissolved Oxygen ,Diarrhea,Typhoid,Rainfall
Mexico,2015,Lake,7.12,4.28,33.6,33,63.23
Brazil,2017,Well,7.84,3.86,89.54,27,29.12
Indonesia,2022,Pond,6.43,3.42,35.29,39,93.56
Nigeria,2016,Well,6.71,3.12,57.53,33,94.25
Mexico,2005,Well,8.16,9.15,36.6,31,69.23
Ethiopia,2013,Tap,8.21,8.66,69.48,22,51.11
China,2022,River,6.11,6.97,55.43,23,68.6
Mexico,2024,Spring,6.42,9.99,44.17,0,70.22
Indonesia,2014,Well,6.29,9.67,71.66,23,69.77
Nigeria,2013,Well,6.45,7.59,55.44,2,78.67
Brazil,2023,Well,8.43,6.25,41.68,16,25.37
Indonesia,2021,River,7.38,4.07,79.01,6,28.2
Indonesia,2002,Pond,7.17,6.61,88.58,9,42.62
China,2023,Lake,8.46,4.1,49.16,18,47.98
Bangladesh,2022,Tap,7.39,5.79,43.05,23,71.04
Nigeria,2018,River,7.65,9.6,35.27,8,33.75
India,2024,Pond,6.83,5.39,66.95,49,63.28
Indonesia,2011,Well,6.96,4.07,88.19,14,34.83
Bangladesh,2001,Pond,7.49,7.08,47.56,48,48.44
India,2002,River,6.17,7.22,62.24,21,94.84
Nigeria,2017,River,6.64,4.36,41.26,16,91.66
USA,2000,River,6.49,4.38,58.29,18,96.25
Ethiopia,2019,Lake,6.04,9.93,31.08,8,67.31
Bangladesh,2020,Spring,7.34,4.7,93.75,37,60.1
Pakistan,2005,Tap,7.4,8.87,77.36,18,87.91
USA,2004,Lake,6.96,6.29,53.3,7,26.37
Ethiopia,2000,Lake,6.67,6.04,91.68,5,98.28
China,2018,Spring,7.63,5.06,42.81,48,56.99
Mexico,2000,Lake,6.34,8.42,35.51,37,74.06
Brazil,2020,River,7.3,9.16,95.98,44,78.28
Pakistan,2020,River,7.92,4.83,51.63,20,70.31
China,2015,Pond,6.41,3.67,95.52,28,91.32
Nigeria,2011,Well,7.88,3.96,74.63,33,43.05
China,2021,Lake,7.9,8.55,98.6,11,62.58
Mexico,2007,Well,6.15,6.05,82.74,38,54.42
Nigeria,2015,Tap,6.05,3.92,37.38,31,76.33
Pakistan,2000,River,8.43,5.38,89.66,5,51.61
Mexico,2003,Pond,6.48,6.6,40.35,16,91.43
